Year,Agency,Adopted,Modified,Borough
2017,Bronx Community Board # 1,291581,291581,Bronx
2017,Bronx Community Board # 10,301115,302545,Bronx
2017,Bronx Community Board # 11,289674,290049,Bronx
2017,Bronx Community Board # 12,239074,238852,Bronx
2017,Bronx Community Board # 2,281688,281688,Bronx
2017,Bronx Community Board # 3,294106,294444,Bronx
2017,Bronx Community Board # 4,247413,247413,Bronx
2017,Bronx Community Board # 5,238911,244593,Bronx
2017,Bronx Community Board # 6,237230,237087,Bronx
2017,Bronx Community Board # 7,299675,299332,Bronx
2017,Bronx Community Board # 8,291634,290897,Bronx
2017,Bronx Community Board # 9,286114,286114,Bronx
2017,Brooklyn Community Board # 1,307482,308012,Brooklyn
2017,Brooklyn Community Board # 10,322051,322418,Brooklyn
2017,Brooklyn Community Board # 11,282844,282762,Brooklyn
2017,Brooklyn Community Board # 12,315710,315390,Brooklyn
2017,Brooklyn Community Board # 13,295290,295534,Brooklyn
2017,Brooklyn Community Board # 14,313103,313429,Brooklyn
2017,Brooklyn Community Board # 15,233911,233911,Brooklyn
2017,Brooklyn Community Board # 16,269247,269247,Brooklyn
2017,Brooklyn Community Board # 17,309716,311205,Brooklyn
2017,Brooklyn Community Board # 18,233913,233913,Brooklyn
2017,Brooklyn Community Board # 2,282227,282227,Brooklyn
2017,Brooklyn Community Board # 3,276663,277104,Brooklyn
2017,Brooklyn Community Board # 4,286946,286946,Brooklyn
2017,Brooklyn Community Board # 5,233911,233911,Brooklyn
2017,Brooklyn Community Board # 6,245822,250822,Brooklyn
2017,Brooklyn Community Board # 7,237411,237411,Brooklyn
2017,Brooklyn Community Board # 8,304789,304697,Brooklyn
2017,Brooklyn Community Board # 9,389947,390239,Brooklyn
2017,Manhattan Community Board # 1,244681,422309,Manhattan
2017,Manhattan Community Board # 10,331905,334860,Manhattan
2017,Manhattan Community Board # 11,322452,322735,Manhattan
2017,Manhattan Community Board # 12,577473,609473,Manhattan
2017,Manhattan Community Board # 2,359772,404509,Manhattan
2017,Manhattan Community Board # 3,408138,413055,Manhattan
2017,Manhattan Community Board # 4,322595,322595,Manhattan
2017,Manhattan Community Board # 5,317938,317938,Manhattan
2017,Manhattan Community Board # 6,362420,450548,Manhattan
2017,Manhattan Community Board # 7,323721,323613,Manhattan
2017,Manhattan Community Board # 8,414412,414412,Manhattan
2017,Manhattan Community Board # 9,385030,385609,Manhattan
2017,Queens Community Board # 1,281656,314420,Queens
2017,Queens Community Board # 10,282455,282626,Queens
2017,Queens Community Board # 11,301982,306642,Queens
2017,Queens Community Board # 12,288136,288873,Queens
2017,Queens Community Board # 13,272235,271779,Queens
2017,Queens Community Board # 14,262846,263080,Queens
2017,Queens Community Board # 2,319787,319787,Queens
2017,Queens Community Board # 3,327713,332442,Queens
2017,Queens Community Board # 4,277695,277674,Queens
2017,Queens Community Board # 5,274207,275010,Queens
2017,Queens Community Board # 6,289263,289066,Queens
2017,Queens Community Board # 7,321817,322059,Queens
2017,Queens Community Board # 8,307688,307915,Queens
2017,Queens Community Board # 9,236861,236734,Queens
2017,Staten Island Community Board # 1,293879,293879,Staten Island
2017,Staten Island Community Board # 2,280917,280917,Staten Island
2017,Staten Island Community Board # 3,346662,342640,Staten Island
2018,Bronx Community Board # 1,294257,294257,Bronx
2018,Bronx Community Board # 10,303880,305347,Bronx
2018,Bronx Community Board # 11,289712,290339,Bronx
2018,Bronx Community Board # 12,239286,239433,Bronx
2018,Bronx Community Board # 2,281993,309092,Bronx
2018,Bronx Community Board # 3,296421,297005,Bronx
2018,Bronx Community Board # 4,247413,247413,Bronx
2018,Bronx Community Board # 5,238911,239594,Bronx
2018,Bronx Community Board # 6,233911,233911,Bronx
2018,Bronx Community Board # 7,299060,299845,Bronx
2018,Bronx Community Board # 8,292002,293420,Bronx
2018,Bronx Community Board # 9,302595,302595,Bronx
2018,Brooklyn Community Board # 1,307735,308299,Brooklyn
2018,Brooklyn Community Board # 10,324137,327371,Brooklyn
2018,Brooklyn Community Board # 11,302625,303101,Brooklyn
2018,Brooklyn Community Board # 12,318716,320257,Brooklyn
2018,Brooklyn Community Board # 13,295270,295851,Brooklyn
2018,Brooklyn Community Board # 14,318192,322252,Brooklyn
2018,Brooklyn Community Board # 15,233911,233911,Brooklyn
2018,Brooklyn Community Board # 16,269342,269914,Brooklyn
2018,Brooklyn Community Board # 17,310283,321646,Brooklyn
2018,Brooklyn Community Board # 18,233913,233913,Brooklyn
2018,Brooklyn Community Board # 2,284317,284317,Brooklyn
2018,Brooklyn Community Board # 3,286952,288352,Brooklyn
2018,Brooklyn Community Board # 4,287089,291113,Brooklyn
2018,Brooklyn Community Board # 5,233911,233911,Brooklyn
2018,Brooklyn Community Board # 6,251075,251075,Brooklyn
2018,Brooklyn Community Board # 7,247411,247411,Brooklyn
2018,Brooklyn Community Board # 8,306560,307164,Brooklyn
2018,Brooklyn Community Board # 9,336781,337644,Brooklyn
2018,Manhattan Community Board # 1,238411,409964,Manhattan
2018,Manhattan Community Board # 10,350800,354080,Manhattan
2018,Manhattan Community Board # 11,327586,328436,Manhattan
2018,Manhattan Community Board # 12,393126,402126,Manhattan
2018,Manhattan Community Board # 2,309313,361849,Manhattan
2018,Manhattan Community Board # 3,376379,382956,Manhattan
2018,Manhattan Community Board # 4,323180,331180,Manhattan
2018,Manhattan Community Board # 5,319683,319683,Manhattan
2018,Manhattan Community Board # 6,367420,463387,Manhattan
2018,Manhattan Community Board # 7,327603,329099,Manhattan
2018,Manhattan Community Board # 8,415304,415304,Manhattan
2018,Manhattan Community Board # 9,370825,371506,Manhattan
2018,Queens Community Board # 1,271798,312225,Queens
2018,Queens Community Board # 10,282245,282715,Queens
2018,Queens Community Board # 11,316000,316640,Queens
2018,Queens Community Board # 12,292432,293233,Queens
2018,Queens Community Board # 13,276631,276770,Queens
2018,Queens Community Board # 14,263038,263235,Queens
2018,Queens Community Board # 2,315612,315612,Queens
2018,Queens Community Board # 3,331213,332442,Queens
2018,Queens Community Board # 4,280732,286314,Queens
2018,Queens Community Board # 5,274130,272346,Queens
2018,Queens Community Board # 6,291361,291475,Queens
2018,Queens Community Board # 7,322221,323111,Queens
2018,Queens Community Board # 8,321865,323295,Queens
2018,Queens Community Board # 9,236778,236856,Queens
2018,Staten Island Community Board # 1,294385,294385,Staten Island
2018,Staten Island Community Board # 2,281034,281034,Staten Island
2018,Staten Island Community Board # 3,342130,342990,Staten Island
2019,Bronx Community Board # 1,339593,353546,Bronx
2019,Bronx Community Board # 10,347575,361202,Bronx
2019,Bronx Community Board # 11,334669,347123,Bronx
2019,Bronx Community Board # 12,281509,293567,Bronx
2019,Bronx Community Board # 2,352119,344072,Bronx
2019,Bronx Community Board # 3,339065,352052,Bronx
2019,Bronx Community Board # 4,289913,301866,Bronx
2019,Bronx Community Board # 5,281411,289047,Bronx
2019,Bronx Community Board # 6,276411,288364,Bronx
2019,Bronx Community Board # 7,341583,349140,Bronx
2019,Bronx Community Board # 8,339385,346968,Bronx
2019,Bronx Community Board # 9,346583,358536,Bronx
2019,Brooklyn Community Board # 1,350180,362937,Brooklyn
2019,Brooklyn Community Board # 10,372853,386089,Brooklyn
2019,Brooklyn Community Board # 11,344962,357966,Brooklyn
2019,Brooklyn Community Board # 12,363113,375679,Brooklyn
2019,Brooklyn Community Board # 13,338566,350707,Brooklyn
2019,Brooklyn Community Board # 14,362244,372978,Brooklyn
2019,Brooklyn Community Board # 15,276411,288364,Brooklyn
2019,Brooklyn Community Board # 16,313414,325367,Brooklyn
2019,Brooklyn Community Board # 17,375899,389500,Brooklyn
2019,Brooklyn Community Board # 18,276413,288366,Brooklyn
2019,Brooklyn Community Board # 2,346867,358820,Brooklyn
2019,Brooklyn Community Board # 3,331487,350357,Brooklyn
2019,Brooklyn Community Board # 4,333733,350686,Brooklyn
2019,Brooklyn Community Board # 5,276411,288364,Brooklyn
2019,Brooklyn Community Board # 6,292335,304288,Brooklyn
2019,Brooklyn Community Board # 7,294911,306864,Brooklyn
2019,Brooklyn Community Board # 8,350619,363263,Brooklyn
2019,Brooklyn Community Board # 9,383190,395259,Brooklyn
2019,Manhattan Community Board # 1,280911,449725,Manhattan
2019,Manhattan Community Board # 10,393300,408208,Manhattan
2019,Manhattan Community Board # 11,365438,367338,Manhattan
2019,Manhattan Community Board # 12,433421,445374,Manhattan
2019,Manhattan Community Board # 2,368935,441129,Manhattan
2019,Manhattan Community Board # 3,418676,433289,Manhattan
2019,Manhattan Community Board # 4,400180,423818,Manhattan
2019,Manhattan Community Board # 5,363965,375918,Manhattan
2019,Manhattan Community Board # 6,450494,565355,Manhattan
2019,Manhattan Community Board # 7,370701,382884,Manhattan
2019,Manhattan Community Board # 8,478115,490068,Manhattan
2019,Manhattan Community Board # 9,413485,425796,Manhattan
2019,Queens Community Board # 1,314445,373279,Queens
2019,Queens Community Board # 10,325135,337147,Queens
2019,Queens Community Board # 11,358960,371283,Queens
2019,Queens Community Board # 12,336092,347192,Queens
2019,Queens Community Board # 13,321003,333187,Queens
2019,Queens Community Board # 14,309160,320702,Queens
2019,Queens Community Board # 2,358484,370437,Queens
2019,Queens Community Board # 3,390213,403395,Queens
2019,Queens Community Board # 4,348715,360752,Queens
2019,Queens Community Board # 5,316076,328164,Queens
2019,Queens Community Board # 6,334007,345964,Queens
2019,Queens Community Board # 7,365095,377807,Queens
2019,Queens Community Board # 8,364941,376997,Queens
2019,Queens Community Board # 9,279325,291338,Queens
2019,Staten Island Community Board # 1,337406,349359,Staten Island
2019,Staten Island Community Board # 2,323534,333366,Staten Island
2019,Staten Island Community Board # 3,388612,399956,Staten Island
2020,Bronx Community Board # 1,362334,358334,Bronx
2020,Bronx Community Board # 10,369398,365632,Bronx
2020,Bronx Community Board # 11,356688,352648,Bronx
2020,Bronx Community Board # 12,304413,300409,Bronx
2020,Bronx Community Board # 2,353956,349956,Bronx
2020,Bronx Community Board # 3,360298,357744,Bronx
2020,Bronx Community Board # 4,309386,305386,Bronx
2020,Bronx Community Board # 5,296884,293567,Bronx
2020,Bronx Community Board # 6,296884,292884,Bronx
2020,Bronx Community Board # 7,357537,353436,Bronx
2020,Bronx Community Board # 8,352472,349522,Bronx
2020,Bronx Community Board # 9,385285,399670,Bronx
2020,Brooklyn Community Board # 1,370912,366933,Brooklyn
2020,Brooklyn Community Board # 10,392873,389418,Brooklyn
2020,Brooklyn Community Board # 11,367440,363729,Brooklyn
2020,Brooklyn Community Board # 12,390930,393080,Brooklyn
2020,Brooklyn Community Board # 13,359399,355570,Brooklyn
2020,Brooklyn Community Board # 14,380478,376568,Brooklyn
2020,Brooklyn Community Board # 15,296884,292884,Brooklyn
2020,Brooklyn Community Board # 16,334887,330887,Brooklyn
2020,Brooklyn Community Board # 17,385142,381834,Brooklyn
2020,Brooklyn Community Board # 18,296886,292886,Brooklyn
2020,Brooklyn Community Board # 2,368347,364347,Brooklyn
2020,Brooklyn Community Board # 3,348207,343898,Brooklyn
2020,Brooklyn Community Board # 4,354330,355330,Brooklyn
2020,Brooklyn Community Board # 5,296884,292884,Brooklyn
2020,Brooklyn Community Board # 6,309575,305575,Brooklyn
2020,Brooklyn Community Board # 7,312884,308884,Brooklyn
2020,Brooklyn Community Board # 8,372091,367958,Brooklyn
2020,Brooklyn Community Board # 9,406535,402439,Brooklyn
2020,Manhattan Community Board # 1,301384,465495,Manhattan
2020,Manhattan Community Board # 10,416499,415454,Manhattan
2020,Manhattan Community Board # 11,389453,374689,Manhattan
2020,Manhattan Community Board # 12,454820,450820,Manhattan
2020,Manhattan Community Board # 2,372013,427612,Manhattan
2020,Manhattan Community Board # 3,439192,433938,Manhattan
2020,Manhattan Community Board # 4,442139,458139,Manhattan
2020,Manhattan Community Board # 5,386258,402258,Manhattan
2020,Manhattan Community Board # 6,469134,576190,Manhattan
2020,Manhattan Community Board # 7,396703,392844,Manhattan
2020,Manhattan Community Board # 8,471018,467018,Manhattan
2020,Manhattan Community Board # 9,434140,431986,Manhattan
2020,Queens Community Board # 1,336408,382916,Queens
2020,Queens Community Board # 10,345356,341390,Queens
2020,Queens Community Board # 11,380995,378069,Queens
2020,Queens Community Board # 12,359757,355690,Queens
2020,Queens Community Board # 13,343219,339271,Queens
2020,Queens Community Board # 14,328923,324930,Queens
2020,Queens Community Board # 2,379291,375291,Queens
2020,Queens Community Board # 3,413743,410972,Queens
2020,Queens Community Board # 4,367980,364982,Queens
2020,Queens Community Board # 5,339202,335305,Queens
2020,Queens Community Board # 6,354427,350472,Queens
2020,Queens Community Board # 7,400053,396100,Queens
2020,Queens Community Board # 8,381311,377277,Queens
2020,Queens Community Board # 9,299963,295965,Queens
2020,Staten Island Community Board # 1,358416,354416,Staten Island
2020,Staten Island Community Board # 2,341886,337886,Staten Island
2020,Staten Island Community Board # 3,410198,406141,Staten Island
2021,Bronx Community Board # 1,314520,310976,Bronx
2021,Bronx Community Board # 10,321046,317623,Bronx
2021,Bronx Community Board # 11,308279,305144,Bronx
2021,Bronx Community Board # 12,258668,254554,Bronx
2021,Bronx Community Board # 2,312111,342567,Bronx
2021,Bronx Community Board # 3,313657,311861,Bronx
2021,Bronx Community Board # 4,256297,248300,Bronx
2021,Bronx Community Board # 5,248795,237781,Bronx
2021,Bronx Community Board # 6,248795,245167,Bronx
2021,Bronx Community Board # 7,311120,306633,Bronx
2021,Bronx Community Board # 8,308090,303954,Bronx
2021,Bronx Community Board # 9,415194,442266,Bronx
2021,Brooklyn Community Board # 1,359637,357778,Brooklyn
2021,Brooklyn Community Board # 10,345586,342016,Brooklyn
2021,Brooklyn Community Board # 11,322597,318672,Brooklyn
2021,Brooklyn Community Board # 12,343260,338879,Brooklyn
2021,Brooklyn Community Board # 13,326010,321954,Brooklyn
2021,Brooklyn Community Board # 14,334012,321723,Brooklyn
2021,Brooklyn Community Board # 15,248795,245251,Brooklyn
2021,Brooklyn Community Board # 16,291798,280101,Brooklyn
2021,Brooklyn Community Board # 17,343324,346397,Brooklyn
2021,Brooklyn Community Board # 18,248797,245253,Brooklyn
2021,Brooklyn Community Board # 2,322827,319283,Brooklyn
2021,Brooklyn Community Board # 3,299950,299703,Brooklyn
2021,Brooklyn Community Board # 4,306368,302740,Brooklyn
2021,Brooklyn Community Board # 5,248795,246795,Brooklyn
2021,Brooklyn Community Board # 6,261762,258218,Brooklyn
2021,Brooklyn Community Board # 7,252295,248835,Brooklyn
2021,Brooklyn Community Board # 8,325401,320831,Brooklyn
2021,Brooklyn Community Board # 9,361348,358280,Brooklyn
2021,Manhattan Community Board # 1,254295,411829,Manhattan
2021,Manhattan Community Board # 10,416747,407921,Manhattan
2021,Manhattan Community Board # 11,339933,347381,Manhattan
2021,Manhattan Community Board # 12,412286,418742,Manhattan
2021,Manhattan Community Board # 2,324797,379802,Manhattan
2021,Manhattan Community Board # 3,392123,397213,Manhattan
2021,Manhattan Community Board # 4,406571,403027,Manhattan
2021,Manhattan Community Board # 5,341027,341027,Manhattan
2021,Manhattan Community Board # 6,421730,520134,Manhattan
2021,Manhattan Community Board # 7,376848,373779,Manhattan
2021,Manhattan Community Board # 8,423243,421462,Manhattan
2021,Manhattan Community Board # 9,386550,381670,Manhattan
2021,Queens Community Board # 1,296253,343133,Queens
2021,Queens Community Board # 10,302710,300092,Queens
2021,Queens Community Board # 11,329660,328037,Queens
2021,Queens Community Board # 12,312593,309114,Queens
2021,Queens Community Board # 13,295291,291499,Queens
2021,Queens Community Board # 14,280592,280276,Queens
2021,Queens Community Board # 2,337490,334030,Queens
2021,Queens Community Board # 3,369177,366778,Queens
2021,Queens Community Board # 4,319964,316967,Queens
2021,Queens Community Board # 5,293002,289466,Queens
2021,Queens Community Board # 6,306376,304544,Queens
2021,Queens Community Board # 7,351138,348789,Queens
2021,Queens Community Board # 8,333634,331444,Queens
2021,Queens Community Board # 9,252085,248285,Queens
2021,Staten Island Community Board # 1,313365,309821,Staten Island
2021,Staten Island Community Board # 2,295482,291854,Staten Island
2021,Staten Island Community Board # 3,363400,359783,Staten Island
