division,part,total,unit
Child Care,1340,65607,child care vouchers
Education,116,77000,teachers
Environment,86000000,430000000,gallons of wastewater treated per year
Fire,6,197,ladder trucks
Health,103,,school based psychologists
Homeless Services,211,2110,individuals sheltered for a year
Jails,1.5,365,"days of incarcerating 5,481 people in city jails"
Parks,594,1414,summer pool and beach season lifeguards
Police,58,24600,police officers per year
Public Assistance,1872,164000,annual safety net assistance grant recipients
Sanitation,7,365,days of residential garbage pickup
Seniors,11000000,46000000,home delivered meals
Street Resurfacing,57,1140,lane-miles of city streets
Small Business Services,7124,25442,job placements through Workforce1 Career Centers
Tax Relief,98.4,,"provided to every senior, disabled person, and veteran receiving partial property tax exemptions"